Date,WhHf,ChWhHf,BuWhHf,WhHf Sub,Sn Hf,Sn St,Ur,Notes
4/17/2021,0,0,0,0,0,1,1,
5/3/2021,0,0,0,0,0,1,0,
5/18/2021,0,0,0,0,0,1,1,
5/18/2021,0,0,0,0,0,1,1,
5/18/2021,0,0,0,0,0,1,1,
5/18/2021,0,0,0,0,0,1,1,
5/29/2021,0,0,0,0,0,1,0,
5/29/2021,0,0,0,0,0,1,0,
5/29/2021,0,0,0,0,0,1,0,
5/29/2021,0,0,0,0,0,1,0,
5/29/2021,0,0,0,0,0,1,0,
6/3/2021,0,0,0,0,0,1,0,
6/4/2021,0,0,0,0,0,1,0,
6/7/2021,0,0,0,0,0,1,0,
6/7/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,Surveyed area 110 x 35 ft
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,0,0,0,0,0,1,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/12/2021,1,0,0,0,0,0,0,
6/22/2021,0,0,0,0,0,1,0,
6/27/2021,0,0,0,0,0,1,0,
6/30/2021,0,0,0,0,0,1,0,
7/18/2021,0,0,0,0,0,1,0,
7/22/2021,1,0,0,0,0,0,0,on Ls
7/22/2021,1,0,0,0,0,0,0,on Ls
7/26/2021,1,0,0,0,0,0,0,
7/26/2021,1,0,0,0,0,0,0,
7/26/2021,1,0,0,0,0,0,0,
7/26/2021,1,0,0,0,0,0,0,
7/28/2021,0,0,0,0,0,1,0,
7/30/2021,0,0,0,0,0,1,0,
8/3/2021,0,0,0,0,0,1,0,
8/3/2021,0,1,0,0,0,0,0,
8/3/2021,0,1,0,0,0,0,0,
8/3/2021,0,1,0,0,0,0,0,
8/3/2021,0,1,0,0,0,0,0,
8/3/2021,0,1,0,0,0,0,0,
8/3/2021,0,1,0,0,0,0,0,
8/3/2021,0,1,0,0,0,0,0,
8/4/2021,0,0,0,0,0,1,1,
8/5/2021,0,0,0,0,0,1,0,
8/6/2021,0,0,0,0,0,1,0,
8/7/2021,1,0,0,0,0,0,0,
8/7/2021,1,0,0,Ba,0,0,0,
8/7/2021,1,0,0,0,0,0,0,
8/8/2021,1,0,0,R,0,0,0,
8/10/2021,0,0,0,0,0,1,0,
8/10/2021,0,1,0,0,0,0,0,
8/10/2021,0,0,0,0,1,0,0,
8/10/2021,0,0,0,0,1,0,0,
8/10/2021,0,1,0,0,0,0,0,
8/10/2021,0,0,0,0,1,0,0,
8/10/2021,0,0,0,0,1,0,0,
8/11/2021,1,0,0,0,0,0,0,on Ls
8/11/2021,1,0,0,0,0,0,0,on Ls
8/11/2021,1,0,0,Ba,0,0,0,
8/11/2021,0,0,0,0,1,0,0,
8/11/2021,0,0,0,0,1,0,0,
8/12/2021,1,0,0,Ba,0,0,0,
8/12/2021,0,1,0,0,0,1,0,
8/12/2021,1,0,0,0,0,0,0,
8/12/2021,0,0,0,0,0,1,0,
8/12/2021,1,0,0,0,0,0,0,
8/12/2021,0,0,0,0,0,1,0,
8/12/2021,0,0,0,0,1,0,0,
8/12/2021,0,0,0,0,1,0,0,
8/12/2021,0,0,0,0,0,1,0,
8/12/2021,1,0,0,My,0,0,0,
8/12/2021,0,0,0,0,1,0,0,
8/12/2021,0,0,0,0,1,0,0,
8/12/2021,1,0,0,0,0,0,0,on Ls
8/12/2021,1,0,0,0,0,0,0,on Ls
8/12/2021,1,0,0,0,0,0,0,on Ls
8/12/2021,1,0,0,0,0,0,0,on Cystoseira
8/12/2021,1,0,0,0,0,0,0,on Cystoseira
8/12/2021,1,0,0,0,0,0,0,on Cystoseira
8/12/2021,1,0,0,My,0,0,0,also Sh and Coralline algae
8/12/2021,1,0,0,0,0,0,0,on Cystoseira 
8/12/2021,0,1,0,0,0,0,0,
8/12/2021,0,1,0,0,0,0,0,
8/13/2021,0,0,0,0,0,1,0,
8/13/2021,1,0,0,0,0,0,0,
8/13/2021,0,1,0,0,0,0,0,
8/13/2021,0,1,0,0,0,0,0,
8/13/2021,0,0,0,0,1,0,0,
8/13/2021,1,0,0,R,0,0,0,
8/13/2021,0,0,0,0,0,1,0,
8/13/2021,0,1,0,0,0,0,0,
8/13/2021,0,1,0,0,0,0,0,
8/13/2021,0,0,0,0,0,1,1,
8/13/2021,0,0,0,0,0,1,0,
8/18/2021,0,0,0,0,0,1,0,
8/18/2021,0,1,0,My,0,0,0,Ba
8/18/2021,1,0,0,My,0,0,0,Ba
8/18/2021,0,0,0,0,1,0,0,
8/18/2021,1,0,0,My,0,0,0,Ba
8/18/2021,0,1,0,0,0,0,0,
8/18/2021,0,1,0,My,0,0,0,
8/20/2021,1,0,0,Ls,0,0,0,
8/20/2021,1,0,0,Ba,0,0,0,
8/20/2021,1,0,0,Ba,0,0,0,
8/20/2021,0,0,0,0,0,1,0,
8/20/2021,0,0,0,0,0,1,0,
8/20/2021,0,0,0,0,0,1,1,
8/20/2021,1,0,0,0,0,0,0,
8/20/2021,0,1,0,0,0,0,0,
8/21/2021,1,0,0,Ls,0,0,1,
8/21/2021,0,0,0,My,0,0,1,
8/25/2021,0,0,0,0,1,0,0,
8/25/2021,1,0,0,My,0,0,0,Ba
8/25/2021,0,1,1,My,0,0,0,
9/6/2021,0,0,0,0,0,1,0,
9/6/2021,0,0,0,0,0,0,1,
9/7/2021,1,0,0,Ba,0,0,0,
9/8/2021,0,0,0,0,0,1,0,
9/8/2021,0,0,0,0,0,1,0,
9/8/2021,0,0,0,0,1,0,0,
9/8/2021,1,0,0,0,0,0,0,
9/8/2021,1,0,0,Cy,0,0,0,
9/8/2021,1,0,0,Cy,0,0,0,
9/8/2021,1,0,0,Cy,0,0,0,
9/8/2021,1,0,0,Ls,0,0,0,
9/9/2021,0,0,0,0,1,0,0,
9/9/2021,0,0,0,0,1,0,0,
9/9/2021,1,0,0,R,0,0,0,
9/9/2021,1,0,0,0,0,0,0,
9/12/2021,0,1,0,0,0,0,0,
9/12/2021,1,0,0,Ba,0,0,0,
9/12/2021,1,0,0,R,0,0,0,
9/12/2021,0,1,0,0,0,0,0,
9/12/2021,1,0,0,0,0,0,0,
9/12/2021,0,1,0,0,0,0,0,
9/12/2021,0,0,0,0,1,0,0,
9/12/2021,0,0,0,0,0,1,0,
9/12/2021,0,1,0,0,0,0,0,
9/12/2021,0,0,0,0,0,1,0,
9/12/2021,0,0,0,0,1,0,0,
9/12/2021,0,0,0,0,0,1,0,
9/12/2021,0,0,0,0,1,0,0,
9/12/2021,0,1,0,0,0,0,0,
9/13/2021,0,1,0,0,0,0,0,
9/14/2021,0,0,0,0,0,1,0,
9/14/2021,0,0,0,0,1,0,0,
9/16/2021,0,0,0,0,1,0,0,
9/17/2021,0,0,0,0,0,1,0,
9/17/2021,0,0,0,0,0,1,0,
9/19/2021,1,0,0,R,0,0,1,
9/20/2021,0,0,0,0,0,1,0,
9/20/2021,1,0,0,0,0,0,0,
9/21/2021,0,0,0,0,0,1,0,
9/21/2021,0,0,0,0,1,0,0,
9/21/2021,0,0,0,0,1,0,0,
9/21/2021,0,0,0,0,0,1,0,
9/21/2021,0,0,0,0,1,0,0,
9/21/2021,1,0,0,Ba,0,0,0,
9/23/2021,1,0,0,0,0,0,0,
9/24/2021,1,0,0,Al,0,0,0,
9/24/2021,1,0,0,0,1,0,0,
9/24/2021,1,0,0,0,,0,0,
9/26/2021,0,0,0,0,1,0,0,
9/26/2021,0,0,0,0,0,1,0,
9/26/2021,0,0,0,0,1,0,0,
9/26/2021,0,0,0,0,1,0,0,
9/26/2021,0,0,0,0,0,1,0,
9/26/2021,0,0,0,0,1,0,0,
9/26/2021,0,0,0,0,1,0,0,
9/26/2021,0,0,0,0,0,1,0,
9/27/2021,0,0,0,0,1,0,0,
9/27/2021,0,0,0,0,0,1,0,
9/27/2021,0,0,0,0,0,1,0,
9/27/2021,1,0,0,Ls,0,0,0,
9/27/2021,1,0,0,Ls,0,0,0,
9/27/2021,1,0,0,Ls,0,0,0,
9/27/2021,0,0,0,0,0,0,0,
9/29/2021,1,0,0,Ls,0,0,0,
9/29/2021,1,0,0,0,0,0,0,
9/29/2021,0,0,0,0,1,0,0,
9/29/2021,0,0,0,0,1,0,0,
9/29/2021,0,0,0,0,0,1,0,
9/29/2021,1,0,0,0,0,0,0,
9/30/2021,1,0,0,Ba,0,0,0,
9/30/2021,1,0,0,Ba,0,0,0,
9/30/2021,0,0,0,0,0,1,0,
9/30/2021,0,0,0,0,0,1,0,
9/30/2021,1,0,0,0,0,,0,
10/2/2021,1,0,0,,0,0,0,
10/2/2021,1,0,0,My,0,0,0,Ba
10/2/2021,1,0,0,Ba,0,0,0,
10/2/2021,1,0,0,Ls,0,0,0,
10/2/2021,1,0,0,Ls,0,0,0,
10/2/2021,1,0,0,Ls,0,0,0,
10/2/2021,0,0,0,0,0,1,0,
10/2/2021,0,0,0,0,1,0,0,
10/2/2021,1,0,0,Ls,0,0,0,
10/2/2021,1,0,0,Ba,0,0,0,My
10/2/2021,1,0,0,Ba,0,0,0,My
10/2/2021,1,0,0,Co,0,0,0,
10/2/2021,0,0,0,0,0,1,0,
10/2/2021,0,0,0,0,0,1,0,
10/2/2021,1,0,0,0,0,0,0,
10/2/2021,0,0,0,0,0,1,0,
10/2/2021,1,0,0,0,0,0,0,
10/2/2021,0,0,0,0,1,0,0,
10/3/2021,1,0,0,R,0,0,0,
10/3/2021,1,0,0,0,0,0,0,
10/3/2021,0,1,0,Ba,0,0,0,
10/3/2021,1,0,0,My,0,0,0,
10/4/2021,0,0,0,0,1,0,0,
10/4/2021,0,0,0,0,1,0,0,
10/4/2021,0,0,0,0,0,1,0,
10/4/2021,1,0,0,Ls,0,0,0,
10/4/2021,0,0,0,0,1,0,0,
10/4/2021,0,0,0,0,1,0,0,
10/4/2021,0,0,0,0,0,1,0,
10/4/2021,0,0,0,0,0,1,0,
10/4/2021,0,0,0,0,1,0,0,
10/4/2021,0,0,0,0,1,0,0,
10/4/2021,1,0,0,0,0,0,0,
10/4/2021,1,0,0,0,0,0,0,
10/5/2021,0,0,0,0,0,1,0,
10/5/2021,1,0,0,0,0,0,0,
10/5/2021,1,0,0,Ba,0,0,0,
10/5/2021,0,0,0,0,0,1,0,
10/5/2021,0,0,0,0,1,0,0,
10/5/2021,1,0,0,Pt,0,0,0,
10/5/2021,0,0,0,0,1,0,0,
10/5/2021,1,0,0,My,0,0,0,Ba
10/5/2021,0,0,0,0,1,0,0,
10/5/2021,0,1,0,0,0,0,0,
10/5/2021,0,0,0,0,1,0,0,
10/5/2021,0,0,0,0,1,0,0,
10/5/2021,1,0,0,R,0,0,0,
10/5/2021,0,0,0,0,0,0,0,
10/6/2021,0,1,0,Ba,0,0,0,
10/6/2021,0,0,0,0,1,0,0,
10/6/2021,0,0,0,0,0,1,0,
10/7/2021,0,1,0,0,0,0,0,
10/7/2021,0,1,0,0,0,0,0,
10/7/2021,0,0,0,0,1,0,0,
10/7/2021,1,0,0,Ba,0,0,0,
10/7/2021,0,0,0,0,1,0,0,
10/7/2021,1,0,0,Ba,0,0,0,
10/7/2021,1,0,0,Ba,0,0,0,
10/10/2021,0,0,0,0,0,1,0,
10/11/2021,0,0,0,0,0,1,0,
10/11/2021,0,0,0,0,1,0,0,
10/11/2021,0,0,0,0,0,1,0,
10/12/2021,0,0,0,0,0,1,0,
10/12/2021,0,0,0,0,0,1,0,
10/13/2021,0,0,0,0,0,0,0,
10/14/2021,1,0,0,0,0,0,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,1,
10/14/2021,0,0,0,0,0,1,1,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,1,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,1,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,1,
10/14/2021,0,0,0,0,1,0,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,1,0,0,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,0,0,0,0,0,1,1,
10/14/2021,0,0,0,0,0,1,1,
10/14/2021,0,0,0,0,0,1,0,
10/14/2021,1,0,0,0,0,0,0,
10/14/2021,0,0,0,0,1,0,0,
10/14/2021,0,0,0,0,1,0,0,
10/14/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,1,0,0,0,0,0,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,0,
10/16/2021,0,0,0,0,0,1,1,
10/16/2021,0,0,0,0,0,1,0,
10/18/2021,0,0,0,0,1,0,0,
10/18/2021,0,0,0,0,1,0,0,
10/19/2021,0,0,0,0,1,0,0,
10/19/2021,0,0,0,0,0,1,0,
10/19/2021,0,0,0,0,1,0,0,
10/19/2021,0,0,0,0,0,1,0,
10/20/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,1,0,0,0,0,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,1,0,0,0,0,0,
10/22/2021,0,1,0,0,0,0,0,
10/22/2021,0,1,0,0,0,0,0,
10/22/2021,0,1,0,0,0,0,1,
10/22/2021,0,1,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Mu,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,1,0,0,Ba,0,0,0,
10/22/2021,0,0,1,0,0,0,0,
10/22/2021,1,0,0,0,0,0,0,
10/22/2021,1,0,0,0,0,0,0,
10/22/2021,1,0,0,0,0,0,0,
10/22/2021,1,0,0,0,0,0,0,
10/22/2021,1,0,0,0,0,0,0,
10/22/2021,1,0,0,0,0,0,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,1,0,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
10/22/2021,0,0,0,0,0,1,0,
